Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250750705000011,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,1,359.0,1380.0,3.84,3.82,582.62,170588.29,606.27,163155.38,323.13,141021.24,520.86,124301.57,
250750705000012,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,1,219.0,802.0,3.66,2.58,617.41,118706.8,631.84,112336.01,339.79,128046.88,512.72,104497.97,
250750705000013,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,325.0,1187.0,3.65,3.32,586.81,942722.1,1036.49,1200449.7,529.93,1223419.42,904.92,1750707.45,
250750705000014,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,270.0,1033.0,3.83,4.11,685.87,501421.75,743.71,500687.58,394.26,310370.51,615.44,348436.69,
250750705000015,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,172.0,632.0,3.67,3.22,633.99,334964.56,677.31,328471.37,324.31,204601.83,615.38,209131.58,
250750705000016,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507057.0,Varjão,1,0,376.0,1315.0,3.5,3.48,738.25,837383.88,864.74,871585.82,501.07,626235.63,794.96,760095.67,
250750705000018,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507000.0,JOÃO PESSOA (demais setores),1,0,29.0,87.0,3.0,2.29,339.1,75771.6,468.29,42561.31,282.0,79215.77,483.43,37427.18,
250750705000019,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507000.0,JOÃO PESSOA (demais setores),1,1,217.0,793.0,3.65,3.33,405.05,70434.35,480.3,47249.06,234.19,84164.68,459.69,61475.86,
250750705000020,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,257.0,817.0,3.18,2.67,1576.81,3283495.41,1640.65,3311808.69,927.11,1987283.68,1334.89,2317683.57,
250750705000021,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,331.0,993.0,3.0,2.35,1673.79,3362484.51,1742.22,3380790.17,978.72,2145665.61,1380.05,2472157.79,
250750705000022,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,319.0,943.0,2.96,2.2,1555.31,2062555.12,1570.07,2058941.88,952.56,1435162.95,1265.63,1510729.84,
250750705000023,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,262.0,892.0,3.4,3.45,1870.58,4433414.44,2025.17,4486956.39,1028.71,3300474.55,1562.26,4180389.09,
250750705000024,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,191.0,599.0,3.14,2.23,1176.03,1914079.35,1247.9,1941518.49,713.04,1148334.0,1052.29,1338241.72,
250750705000025,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,277.0,995.0,3.59,2.9,1070.73,1278126.03,1256.75,1266347.97,750.59,1846999.75,1175.01,2393634.38,
250750705000026,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,293.0,1019.0,3.48,3.16,1445.74,4455332.95,1772.39,4884819.92,1133.03,4416631.4,1574.95,5444759.69,
250750705000027,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,307.0,1003.0,3.27,2.58,1428.79,2159409.97,1481.89,2160979.81,792.14,1446826.01,1171.92,1695805.45,
250750705000028,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,288.0,884.0,3.07,2.8,1967.41,5037047.84,2067.94,5086717.55,1090.03,2876905.66,1551.49,3379753.23,
250750705000029,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,255.0,891.0,3.49,3.72,1632.62,3347619.14,1875.3,3390320.85,1171.33,2974835.66,1635.76,3395384.94,
250750705000030,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,553.0,1989.0,3.6,3.19,1402.69,4707516.91,1515.01,4914718.15,758.69,2443838.91,1217.1,3363373.66,
250750705000031,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,153.0,527.0,3.44,2.81,1705.93,3965869.53,1838.08,4030640.14,900.11,2078220.29,1420.11,2541925.21,
250750705000032,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,171.0,514.0,3.01,1.77,1825.99,4945913.69,1869.72,4982824.98,987.4,2730531.61,1434.0,3326971.6,
250750705000033,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507029.0,Jaguaribe,1,0,275.0,940.0,3.42,2.51,1889.6,4650350.24,2029.84,4711058.76,1047.57,2581374.79,1538.56,3036603.85,
250750705000034,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,346.0,1102.0,3.18,3.3,965.29,1926901.13,1155.68,2087477.71,560.22,915468.84,902.02,1166111.36,
250750705000035,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,161.0,526.0,3.27,3.35,1165.07,1790096.36,1250.51,1814692.86,747.81,1325696.39,1090.95,1560398.36,
250750705000036,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,263.0,836.0,3.18,2.54,2486.47,43591660.96,2584.75,45066453.46,1215.46,16226003.3,1763.34,22585941.35,
250750705000037,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,122.0,323.0,2.65,1.55,3418.12,8155975.55,3564.2,7982402.85,1855.88,5965630.37,2615.1,6422750.36,
250750705000038,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,312.0,917.0,2.94,2.97,1814.9,6471120.53,1945.87,6683984.83,1088.14,3525679.7,1512.0,4259345.08,
250750705000039,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,317.0,959.0,3.03,2.11,2000.28,4013520.7,2149.45,3992119.99,1178.34,2643004.04,1693.74,2926563.55,
250750705000040,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,217.0,723.0,3.33,2.81,1357.52,2111692.31,1472.91,2121276.07,770.85,1195623.69,1149.33,1348011.22,
250750705000041,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,333.0,1136.0,3.41,2.63,1576.89,2905499.85,1640.96,2918454.38,943.36,1892289.66,1367.8,2163516.35,
250750705000042,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,266.0,849.0,3.19,2.89,1642.47,4002039.53,1726.87,4062174.93,902.77,2144351.45,1318.52,2584534.48,
250750705000043,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,217.0,778.0,3.59,2.95,1458.68,4767042.11,1829.67,5303776.37,898.59,3184282.78,1489.88,4401524.5,
250750705000044,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,213.0,763.0,3.58,3.19,1550.91,4024241.4,1627.31,4098520.03,833.52,1905049.69,1217.43,2315954.07,
250750705000045,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,256.0,886.0,3.46,3.35,1663.19,5077021.84,1696.32,5122136.35,878.87,2442717.68,1267.36,3031182.18,
250750705000046,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,199.0,668.0,3.36,2.5,3547.25,178042979.17,3695.82,184987526.05,1740.71,61166674.8,2402.89,82893432.72,
250750705000047,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,305.0,943.0,3.09,2.9,2035.71,5577270.03,2186.24,5660878.03,1121.91,3027395.57,1522.0,3498772.33,
250750705000048,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,260.0,737.0,2.83,2.53,2209.76,6107585.3,2434.48,6181931.88,1285.36,3842232.12,1912.44,4518950.81,
250750705000049,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507053.0,Tambauzinho,1,1,187.0,714.0,3.82,4.2,572.14,448490.11,644.52,458638.35,353.17,372827.02,552.54,473404.17,
250750705000050,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,1,82.0,317.0,3.87,3.18,409.9,88754.98,517.11,56027.66,265.83,96185.01,515.44,57548.34,
250750705000051,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507055.0,Torre,1,0,401.0,1335.0,3.33,3.44,1071.62,2366314.09,1187.07,2484526.55,652.88,1235761.37,923.37,1498301.93,
250750705000052,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,266.0,934.0,3.51,3.61,1334.45,1857598.57,1414.2,1855823.7,743.04,1092601.1,1095.35,1224991.57,
250750705000053,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,282.0,974.0,3.45,3.07,1107.96,831741.04,1157.21,811648.68,606.69,618701.38,940.96,645105.29,
250750705000054,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,1,189.0,673.0,3.56,2.89,447.6,259225.12,575.49,259695.2,275.42,155041.52,508.61,167748.34,
250750705000055,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,261.0,870.0,3.33,2.55,1386.2,1687235.79,1539.57,1637579.2,744.92,1197370.6,1230.41,1380754.54,
250750705000056,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,216.0,720.0,3.33,4.36,1452.24,1732925.71,1500.88,1717892.53,799.9,1295658.51,1198.94,1463969.59,
250750705000057,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,302.0,1067.0,3.53,3.09,1173.33,2745487.62,1307.55,2884561.66,657.33,1302815.91,1005.33,1643200.43,
250750705000058,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,182.0,673.0,3.7,3.39,1573.41,2156796.3,1627.05,2142972.03,872.18,1522576.55,1299.63,1713731.14,
250750705000059,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,245.0,859.0,3.51,3.14,1678.14,4290585.97,1827.31,4399881.67,882.15,2090527.29,1357.68,2572769.54,
250750705000060,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,333.0,1056.0,3.17,2.79,1070.55,1351989.78,1124.59,1359486.52,667.17,1031667.19,975.42,1207932.0,
250750705000061,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507014.0,Castelo Branco,1,0,316.0,1071.0,3.39,3.01,1493.6,2143412.21,1578.53,2131188.19,822.71,1366510.61,1235.99,1542432.11,
250750705000062,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,0,309.0,1078.0,3.49,2.22,3014.16,8261181.59,3135.94,8212895.89,1614.57,5127902.93,2257.66,5719322.24,
250750705000063,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,0,350.0,1185.0,3.39,2.07,3099.56,7451503.2,3162.81,7403366.58,1634.85,5528716.13,2294.2,6246727.46,
250750705000064,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,0,190.0,644.0,3.39,2.49,3225.8,8515031.19,3312.98,8456009.67,1658.47,5658483.69,2386.29,6406718.32,
250750705000065,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,0,254.0,785.0,3.09,1.9,3086.8,8654826.66,3174.28,8622287.72,1601.94,5595310.38,2459.51,6483366.8,
250750705000066,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,0,269.0,851.0,3.16,1.99,2133.05,4923186.53,2198.43,4930381.33,1239.23,3221789.33,1645.75,3610326.62,
250750705000067,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,0,99.0,259.0,2.62,1.03,2833.74,3411170.58,2862.65,3362708.35,1735.78,3494820.31,2222.18,3392707.59,
250750705000068,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,1,287.0,1041.0,3.63,3.47,535.0,145977.28,595.14,126520.83,301.66,122106.18,502.17,102538.61,
250750705000069,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,1,316.0,1161.0,3.67,3.33,428.3,66988.29,463.5,56140.41,240.07,71138.18,388.84,57350.48,
250750705000070,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507010.0,Bancários,1,0,161.0,564.0,3.5,3.54,1505.91,2505382.42,1534.5,2509100.29,852.46,1901962.07,1300.82,2320523.94,
250750705000071,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507035.0,Jardim São Paulo,1,0,319.0,1005.0,3.15,1.64,2321.81,4408622.56,2683.54,4123721.17,1258.64,3318285.78,2135.95,3758151.44,
250750705000072,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507035.0,Jardim São Paulo,1,0,292.0,740.0,2.53,1.33,1963.55,3455837.63,1990.82,3449520.81,1312.35,2529505.75,1558.42,2620471.27,
250750705000073,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507035.0,Jardim São Paulo,1,0,173.0,477.0,2.76,2.18,2249.74,10770331.29,2289.44,10870088.99,1341.7,5476791.58,1744.99,6421994.51,
250750705000074,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507001.0,Água Fria,1,0,207.0,493.0,2.38,1.4,1714.35,2055845.92,1848.29,1968455.69,1225.43,2172287.3,1678.06,2215244.62,
250750705000075,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2507507,JOÃO PESSOA,250750705,JOÃO PESSOA,25075070500.0,JOÃO PESSOA,2507507001.0,Água Fria,1,0,136.0,314.0,2.31,1.13,1198.25,1060788.11,1442.14,923761.91,818.09,919028.4,1270.65,852025.95,
